"id","altura","peso","IMC","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","carros","filhos"
"1",1,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,2976.21,0,2
"2",2,1.8,75,23.1481481481481,"F","3º Grau","Humanas","Sim",1,2516.82,3,0
"3",3,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,3120.51,1,2
"4",4,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Sim",1,2967.35,0,1
"5",5,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Sim",1,3193.42,0,2
"6",6,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Sim",1,3511.23,0,2
"7",7,1.8,75,23.1481481481481,"M","2º Grau","Biológicas","Não",0,2939.75,1,0
"8",8,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,2633.37,3,2
"9",9,1.8,75,23.1481481481481,"F","PósDoc","Biológicas","Sim",1,3005.02,3,0
"10",10,1.8,75,23.1481481481481,"F","PósDoc","Biológicas","Não",0,3098.13,3,1
"11",11,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,3495.49,3,1
"12",12,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3467.69,2,1
"13",13,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Não",0,2036.53,0,0
"14",14,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Sim",1,3126.51,2,0
"15",15,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,3341.71,2,1
"16",16,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Sim",1,3136.62,0,0
"17",17,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,2849.82,1,0
"18",18,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Não",0,2693.66,0,1
"19",19,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,3234.78,3,0
"20",20,1.8,75,23.1481481481481,"F","PósDoc","Humanas","Não",0,3092.75,3,1
"21",21,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,2837.06,3,2
"22",22,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Não",0,2643.86,3,1
"23",23,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Não",0,3169.25,3,0
"24",24,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,3559.04,3,1
"25",25,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Não",0,2272.8,0,0
"26",26,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Sim",1,3013.46,1,0
"27",27,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,4025.95,1,2
"28",28,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Sim",1,2600.46,0,1
"29",29,1.8,75,23.1481481481481,"M","2º Grau","Biológicas","Sim",1,2424.43,2,2
"30",30,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Não",0,2853.76,2,0
"31",31,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,2763.48,0,0
"32",32,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Não",0,2979.76,0,1
"33",33,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,2805.02,2,1
"34",34,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Não",0,2873.02,1,0
"35",35,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Não",0,2597.93,1,0
"36",36,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Sim",1,3839.06,1,1
"37",37,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Não",0,2831.64,3,0
"38",38,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Não",0,2707.61,3,1
"39",39,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,2734.8,2,2
"40",40,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Sim",1,2891.02,0,2
"41",41,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Não",0,3010.15,1,1
